127.0.0.1 - - [06/oct./2021:10:20:58 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1li5xwST75WQpc4&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQJ"
127.0.0.1 - - [06/oct./2021:10:20:58 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1k55xwST75WQpbG&ps=500&p=1 HTTP/1.1" 200 2720 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQK"
127.0.0.1 - - [06/oct./2021:10:20:58 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1ma5xwST75WQpig&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQL"
127.0.0.1 - - [06/oct./2021:10:20:58 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1oR5xwST75WQprR&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQM"
127.0.0.1 - - [06/oct./2021:10:20:58 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1pM5xwST75WQpyj&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQN"
127.0.0.1 - - [06/oct./2021:10:20:59 +0200] "GET /api/metrics/search?ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQO"
127.0.0.1 - - [06/oct./2021:10:20:59 +0200] "GET /batch/project.protobuf?key=graphe HTTP/1.1" 200 245 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQP"
127.0.0.1 - - [06/oct./2021:10:21:02 +0200] "POST /api/ce/submit?projectKey=graphe&projectName=Graphe HTTP/1.1" 200 44 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQQ"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:08 +0200] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 77 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQR"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:08 +0200] "GET /api/components/search_projects?ps=1 HTTP/1.1" 200 200 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQS"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:08 +0200] "GET /js/277.m.c0730019.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQT"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:08 +0200] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQU"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:08 +0200] "GET /api/components/search_projects?ps=50&facets=reliability_rating%2Csecurity_rating%2Csecurity_review_rating%2Csqale_rating%2Ccoverage%2Cduplicated_lines_density%2Cncloc%2Calert_status%2Clanguages%2Ctags%2Cqualifier&f=analysisDate%2CleakPeriodDate HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQV"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:08 +0200] "GET /api/measures/search?projectKeys=graphe%2Chello-world&metricKeys=alert_status%2Cbugs%2Creliability_rating%2Cvulnerabilities%2Csecurity_rating%2Csecurity_hotspots_reviewed%2Csecurity_review_rating%2Ccode_smells%2Csqale_rating%2Cduplicated_lines_density%2Ccoverage%2Cncloc%2Cncloc_language_distribution%2Cprojects HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQW"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/components/show?component=graphe HTTP/1.1" 200 235 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQY"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/navigation/component?component=graphe HTTP/1.1" 200 740 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQX"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/project_branches/list?project=graphe HTTP/1.1" 200 168 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQZ"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/project_pull_requests/list?project=graphe HTTP/1.1" 200 19 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQa"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/alm_settings/get_binding?project=graphe HTTP/1.1" 404 73 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQb"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/qualitygates/project_status?projectKey=graphe HTTP/1.1" 200 867 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQc"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/project_analyses/search?project=graphe&from=2020-10-05T17%3A06%3A42%2B0000 HTTP/1.1" 200 825 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQe"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/measures/search_history?from=2020-10-05T17%3A06%3A42%2B0000&component=graphe&metrics=bugs%2Cvulnerabilities%2Csqale_index%2Cduplicated_lines_density%2Cncloc%2Ccoverage%2Ccode_smells%2Creliability_rating%2Csecurity_rating%2Csqale_rating&ps=1000 HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQd"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /images/source-code.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQi"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /images/activity-chart.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQh"
